symbol,buy_date,exdividenddate,earningsdate,payoutdate,shortname,dividendrate,previousclose,currentprice,dividendyield,payoutratio,quotetype,dividend,message,hist,insight
BIPI,1998-01-01,1998-01-01,1998-01-01,1998-01-01,BIP Bermuda Holdings I Limited ,0.0,16.3,0.0,0.0,0.0,EQUITY,0.3,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,BIPI has just started to pay dividends.
BIPH,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Brookfield Infrastructure Corpo,0.0,16.5,0.0,0.0,0.0,EQUITY,0.3,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"BIPH started paying dividends 5 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is 0.43%."
BIPJ,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Brookfield Infrastructure Corpo,0.0,24.2,0.0,0.0,0.0,EQUITY,0.5,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,BIPJ has just started to pay dividends.
SAY,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Saratoga Investment Corp 8.125%,0.0,25.4,0.0,0.0,0.0,EQUITY,0.5,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"SAY started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
SAT,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Saratoga Investment Corp 6.00% ,0.0,24.4,0.0,0.0,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"SAT started paying dividends 3 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is -3.35%."
GFSAY,1998-01-01,1998-01-01,1998-01-01,1998-01-01,N/A,0.0,0.0,0.0,0.0,0.0,EQUITY,0.0,Payout Ratio falls within the low risk (<35%).,Reflecting a -89.89% cut.,GFSAY has just started to pay dividends.
ARR-PC,2025-03-13,2025-03-14,2025-04-23,2025-03-27,"ARMOUR Residential REIT, Inc. 7",1.8,21.3,21.3,8.2,0.0,EQUITY,0.1,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"ARR-PC started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
PRS,1998-01-01,1998-01-01,1998-01-01,1998-01-01,"Prudential Financial, Inc. 5.62",0.0,23.2,0.0,0.0,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"PRS started paying dividends 8 years ago, but there is no recorded dividend growth in the last 5 years."
PRH,1998-01-01,1998-01-01,1998-01-01,1998-01-01,"Prudential Financial, Inc. 5.95",0.0,24.7,0.0,0.0,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"PRH started paying dividends 4 years ago, but there is no recorded dividend growth in the last 2 years."
PFH,1998-01-01,1998-01-01,1998-01-01,1998-01-01,"Prudential Financial, Inc. 4.12",0.0,17.5,0.0,0.0,0.0,EQUITY,0.3,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"PFH started paying dividends 6 years ago, but there is no recorded dividend growth in the last 3 years."
GDV-PK,1998-01-01,1998-01-01,1998-01-01,1998-01-01,The Gabelli Dividend & Income T,1.1,18.6,18.6,5.7,0.0,EQUITY,0.3,Payout Ratio falls within the low risk (<35%).,Reflecting a -0.01% cut.,GDV-PK has just started to pay dividends.
GLP-PB,2025-02-02,2025-02-03,2025-05-06,2025-02-18,Global Partners LP 9.50% Series,2.4,26.2,26.2,9.1,0.0,EQUITY,0.6,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"GLP-PB started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 15.25%."
HPE-PC,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Hewlett Packard Enterprise Comp,0.0,47.7,0.0,0.0,0.0,EQUITY,1.0,Payout Ratio falls within the low risk (<35%).,Reflecting a 13.33% increase.,HPE-PC has just started to pay dividends.
ECCW,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Eagle Point Credit Company Inc.,0.0,23.8,0.0,0.0,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"ECCW started paying dividends 5 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is 0.40%."
ECCF,2025-04-09,2025-04-10,2025-05-19,2025-06-30,Eagle Point Credit Company Inc.,2.0,24.9,24.9,8.0,0.0,EQUITY,0.2,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,ECCF has just started to pay dividends.
ECCV,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Eagle Point Credit Company Inc.,0.0,23.0,0.0,0.0,0.0,EQUITY,0.3,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"ECCV started paying dividends 4 years ago, but there is no recorded dividend growth in the last 2 years."
ECC-PD,2025-04-09,2025-04-10,2025-05-19,2025-06-30,Eagle Point Credit Company Inc.,1.7,20.0,19.9,8.5,0.0,EQUITY,0.1,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"ECC-PD started paying dividends 4 years ago, but there is no recorded dividend growth in the last 2 years."
ECCC,2025-04-09,2025-04-10,2025-05-19,2025-06-30,Eagle Point Credit Company Inc.,1.6,23.3,23.4,7.0,0.0,EQUITY,0.1,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"ECCC started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
OZKAP,2025-02-02,2025-02-03,2025-04-16,2025-02-18,Bank OZK - 4.625% Series A Non-,1.2,16.3,16.4,7.1,0.0,EQUITY,0.3,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"OZKAP started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
INBKZ,1998-01-01,1998-01-01,1998-01-01,1998-01-01,First Internet Bancorp - Fixed-,0.0,24.9,0.0,0.0,0.0,EQUITY,0.5,Payout Ratio falls within the low risk (<35%).,Reflecting a -4.41% cut.,INBKZ has just started to pay dividends.
RCIAX,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Resource Credit Income Fund Cla,0.0,0.0,0.0,0.0,0.0,MUTUALFUND,0.2,Payout Ratio falls within the low risk (<35%).,Reflecting a 12.00% increase.,"RCIAX started paying dividends 10 years ago, but there is no recorded dividend growth in the last 1 years."
DHCNI,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Diversified Healthcare Trust  -,0.0,13.3,0.0,0.0,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"DHCNI started paying dividends 14 years ago, but there is no recorded dividend growth in the last 5 years."
PSOIX,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Palmer Square Opportunistic Inc,0.0,0.0,0.0,0.0,0.0,MUTUALFUND,0.4,Payout Ratio falls within the low risk (<35%).,Reflecting a -1.93% cut.,PSOIX has just started to pay dividends.
CCLDP,2025-04-29,2025-04-30,2025-05-12,2025-03-17,"CareCloud, Inc. - 8.75% Series ",2.8,19.8,19.4,18.3,0.0,EQUITY,0.2,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,CCLDP has just started to pay dividends.
CCLDO,2025-04-29,2025-04-30,2025-05-12,2025-05-15,"CareCloud, Inc. - 8.75% Series ",2.2,18.9,19.0,11.5,0.0,EQUITY,0.2,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,CCLDO has just started to pay dividends.
ATH-PE,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Athene Holding Ltd. Depositary ,1.9,26.1,25.9,7.5,0.0,EQUITY,0.5,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"ATH-PE started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
ATH-PD,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Athene Holding Ltd. Depositary ,1.2,17.1,17.1,7.1,0.0,EQUITY,0.3,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"ATH-PD started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
ATH-PC,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Athene Holding Ltd. Depositary ,1.6,24.9,25.0,6.4,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"ATH-PC started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 2.53%."
ATH-PB,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Athene Holding Ltd. Depositary ,1.4,19.7,19.7,7.1,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"ATH-PB started paying dividends 7 years ago, but there is no recorded dividend growth in the last 5 years."
ATHS,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Athene Holding Ltd. 7.250% Fixe,0.0,25.2,0.0,0.0,0.0,EQUITY,0.5,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,ATHS has just started to pay dividends.
BPYPO,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Brookfield Property Partners L.,1.6,13.8,14.2,11.2,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,BPYPO has just started to pay dividends.
BPYPN,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Brookfield Property Partners L.,1.4,12.4,12.6,11.4,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,BPYPN has just started to pay dividends.
BPYPM,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Brookfield Property Partners L.,0.0,14.2,0.0,0.0,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,BPYPM has just started to pay dividends.
FUPPF,2025-05-07,2025-05-08,2025-04-30,2014-05-08,FUCHS SE NON VTG PRF NPV,1.2,0.0,43.0,2.8,48.5,EQUITY,1.2,Payout Ratio falls within the medium risk (35%-75%).,This is in line with the previous dividend.,FUPPF has just started to pay dividends.
FBRT-PE,2025-03-30,2025-03-31,2025-04-28,2025-04-15,"Franklin BSP Realty Trust, Inc.",1.9,20.3,20.4,9.2,0.0,EQUITY,0.5,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"FBRT-PE started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
CCIA,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Carlyle Credit Income Fund 8.75,0.0,25.8,0.0,0.0,0.0,EQUITY,0.2,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"CCIA started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
MBINM,2025-03-13,2025-03-14,2025-04-28,2025-04-01,Merchants Bancorp - Depositary ,2.1,25.6,25.6,8.0,0.0,EQUITY,0.5,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"MBINM started paying dividends 4 years ago, but there is no recorded dividend growth in the last 2 years."
MBINN,2025-03-13,2025-03-14,2025-04-28,2025-04-01,Merchants Bancorp - Depositary ,1.5,20.2,20.4,7.3,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"MBINN started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -2.09%."
NSA-PB,2025-03-13,2025-03-14,2025-04-29,2025-03-31,National Storage Affiliates Tru,1.5,21.6,21.6,7.0,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,NSA-PB has just started to pay dividends.
XILSX,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Pioneer ILS Interval Fund,0.0,0.0,0.0,0.0,0.0,MUTUALFUND,1.2,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,XILSX has just started to pay dividends.
RILYZ,1998-01-01,1998-01-01,1998-01-01,1998-01-01,"B. Riley Financial, Inc. - 5.25",0.0,8.6,0.0,0.0,0.0,EQUITY,0.3,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"RILYZ started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 1.75%."
RILYT,1998-01-01,1998-01-01,1998-01-01,1998-01-01,"B. Riley Financial, Inc. - 6.00",0.0,8.6,0.0,0.0,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"RILYT started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -1.48%."
RILYP,2024-10-27,2024-10-28,2025-04-22,2024-10-31,"B. Riley Financial, Inc. - Depo",1.7,3.6,3.6,21.6,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,RILYP has just started to pay dividends.
ATLCZ,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Atlanticus Holdings Corporation,0.0,24.7,0.0,0.0,0.0,EQUITY,0.6,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,ATLCZ has just started to pay dividends.
ATLCP,2025-02-27,2025-02-28,2025-05-08,2025-03-17,Atlanticus Holdings Corporation,1.9,23.3,23.2,8.2,0.0,EQUITY,0.5,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"ATLCP started paying dividends 5 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is -0.42%."
ATLCL,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Atlanticus Holdings Corporation,0.0,24.2,0.0,0.0,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"ATLCL started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
RILYN,1998-01-01,1998-01-01,1998-01-01,1998-01-01,"B. Riley Financial, Inc. - 6.50",0.0,12.8,0.0,0.0,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"RILYN started paying dividends 7 years ago, but there is no recorded dividend growth in the last 5 years."
RILYM,1998-01-01,1998-01-01,1998-01-01,1998-01-01,"B. Riley Financial, Inc. - 6.37",0.0,25.1,0.0,0.0,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"RILYM started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 2.90%."
RILYL,2024-10-27,2024-10-28,2025-04-22,2024-10-31,"B. Riley Financial, Inc. - Depo",1.8,3.8,3.5,20.2,0.0,EQUITY,0.5,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,RILYL has just started to pay dividends.
RILYK,1998-01-01,1998-01-01,1998-01-01,1998-01-01,"B. Riley Financial, Inc. - 5.50",0.0,21.6,0.0,0.0,0.0,EQUITY,0.3,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"RILYK started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 30.67%."
RILYG,1998-01-01,1998-01-01,1998-01-01,1998-01-01,"B. Riley Financial, Inc. - 5.00",0.0,10.2,0.0,0.0,0.0,EQUITY,0.3,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"RILYG started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
VODAF,2024-11-26,2024-11-27,2025-05-19,2013-07-01,VODACOM GROUP LIMITED,0.3,0.0,5.8,5.5,78.6,EQUITY,0.2,Payout Ratio falls within the high risk (>75%).,This is in line with the previous dividend.,VODAF has just started to pay dividends.
UUGWF,2024-11-28,2024-11-29,2025-05-15,2013-08-02,UNITED UTILITIES GROUP PLC,0.6,0.0,13.5,4.7,299.9,EQUITY,0.4,Payout Ratio falls within the high risk (>75%).,This is in line with the previous dividend.,UUGWF has just started to pay dividends.
FATBP,2025-04-09,2025-04-10,2025-04-29,2025-04-21,FAT Brands Inc. - 8.25% Series ,2.1,8.0,8.0,25.7,0.0,EQUITY,0.2,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"FATBP started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 13.33%."
LANDO,2025-03-18,2025-03-19,2025-05-05,2025-03-31,Gladstone Land Corporation - 6.,1.5,19.9,20.1,7.5,0.0,EQUITY,0.1,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"LANDO started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
FSEN,1998-01-01,1998-01-01,1998-01-01,1998-01-01,N/A,0.2,0.0,2.5,11.6,160.6,EQUITY,0.0,Payout Ratio falls within the high risk (>75%).,Reflecting a -1007.35% cut.,FSEN has just started to pay dividends.
NREF-PA,2025-04-14,2025-04-15,2025-04-30,2025-04-25,"NexPoint Real Estate Finance, I",2.1,24.1,23.9,8.8,0.0,EQUITY,0.5,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"NREF-PA started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
SACC,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Sachem Capital Corp. 6.875% Not,0.0,25.0,0.0,0.0,0.0,ETF,0.4,Payout Ratio falls within the low risk (<35%).,Reflecting a 0.92% increase.,SACC has just started to pay dividends.
SCCG,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Sachem Capital Corp. 8.00% Note,0.0,20.5,0.0,0.0,0.0,EQUITY,0.5,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"SCCG started paying dividends 4 years ago, but there is no recorded dividend growth in the last 2 years."
SCCF,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Sachem Capital Corp. 7.125% Not,0.0,19.3,0.0,0.0,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,SCCF has just started to pay dividends.
SCCE,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Sachem Capital Corp. 6.00% Note,0.0,19.4,0.0,0.0,0.0,ETF,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,SCCE has just started to pay dividends.
SCCD,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Sachem Capital Corp. 6.00% Note,0.0,20.4,0.0,0.0,0.0,ETF,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,SCCD has just started to pay dividends.
SCCC,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Sachem Capital Corp. 7.75% Note,0.0,24.8,0.0,0.0,0.0,ETF,0.5,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"SCCC started paying dividends 6 years ago, but there is no recorded dividend growth in the last 4 years."
