symbol,buy_date,exdividenddate,earningsdate,payoutdate,shortname,dividendrate,previousclose,currentprice,dividendyield,payoutratio,quotetype,dividend,message,hist,insight
BIP-PA,2025-02-27,2025-02-28,2025-04-29,2025-03-17,Brookfield Infrastructure Partn,1.28,16.66,16.75,6.85,0.0,EQUITY,0.320313,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"BIP-PA started paying dividends 6 years ago, but there is no recorded dividend growth in the last 4 years."
ARR-PC,2025-03-13,2025-03-14,2025-04-23,2025-03-27,"ARMOUR Residential REIT, Inc. 7",1.75,21.31,21.3399,8.2,0.0,EQUITY,0.14583,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"ARR-PC started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
GLP-PB,2025-02-02,2025-02-03,2025-05-06,2025-02-18,Global Partners LP 9.50% Series,2.38,26.2331,26.225,9.06,0.0,EQUITY,0.59375,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"GLP-PB started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 15.25%."
ECCF,2025-04-09,2025-04-10,2025-05-19,2025-06-30,Eagle Point Credit Company Inc.,2.0,24.92,24.915,8.03,0.0,EQUITY,0.167,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,ECCF has just started to pay dividends.
ECC-PD,2025-04-09,2025-04-10,2025-05-19,2025-06-30,Eagle Point Credit Company Inc.,1.69,19.96,19.87,8.49,0.0,EQUITY,0.140625,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"ECC-PD started paying dividends 4 years ago, but there is no recorded dividend growth in the last 2 years."
ECCC,2025-04-09,2025-04-10,2025-05-19,2025-06-30,Eagle Point Credit Company Inc.,1.63,23.34,23.36,6.96,0.0,EQUITY,0.135,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"ECCC started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
OZKAP,2025-02-02,2025-02-03,2025-04-16,2025-02-18,Bank OZK - 4.625% Series A Non-,1.16,16.28,16.38,7.06,0.0,EQUITY,0.289,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"OZKAP started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
CCLDP,2025-04-29,2025-04-30,2025-05-12,2025-03-17,"CareCloud, Inc. - 8.75% Series ",2.75,19.8,19.43,18.33,0.0,EQUITY,0.22917,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,CCLDP has just started to pay dividends.
CCLDO,2025-04-29,2025-04-30,2025-05-12,2025-05-15,"CareCloud, Inc. - 8.75% Series ",2.19,18.92,19.0,11.51,0.0,EQUITY,0.182,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,CCLDO has just started to pay dividends.
FUPPF,2025-05-07,2025-05-08,2025-04-30,2014-05-08,FUCHS SE NON VTG PRF NPV,1.21,0.0,42.99,2.81,48.47,EQUITY,1.1987041,Payout Ratio falls within the medium risk (35%-75%).,This is in line with the previous dividend.,FUPPF has just started to pay dividends.
FBRT-PE,2025-03-30,2025-03-31,2025-04-28,2025-04-15,"Franklin BSP Realty Trust, Inc.",1.88,20.29,20.45,9.17,0.0,EQUITY,0.46875,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"FBRT-PE started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
MBINM,2025-03-13,2025-03-14,2025-04-28,2025-04-01,Merchants Bancorp - Depositary ,2.06,25.59,25.65,8.04,0.0,EQUITY,0.516,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"MBINM started paying dividends 4 years ago, but there is no recorded dividend growth in the last 2 years."
MBINN,2025-03-13,2025-03-14,2025-04-28,2025-04-01,Merchants Bancorp - Depositary ,1.5,20.24,20.4499,7.33,0.0,EQUITY,0.375,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"MBINN started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -2.09%."
NSA-PB,2025-03-13,2025-03-14,2025-04-29,2025-03-31,National Storage Affiliates Tru,1.5,21.56,21.56,6.96,0.0,EQUITY,0.375,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,NSA-PB has just started to pay dividends.
RILYP,2024-10-27,2024-10-28,2025-04-22,2024-10-31,"B. Riley Financial, Inc. - Depo",1.72,3.62,3.6,21.62,0.0,EQUITY,0.43,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,RILYP has just started to pay dividends.
ATLCP,2025-02-27,2025-02-28,2025-05-08,2025-03-17,Atlanticus Holdings Corporation,1.91,23.28,23.25,8.2,0.0,EQUITY,0.477,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"ATLCP started paying dividends 5 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is -0.42%."
RILYL,2024-10-27,2024-10-28,2025-04-22,2024-10-31,"B. Riley Financial, Inc. - Depo",1.84,3.83,3.5,20.22,0.0,EQUITY,0.461,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,RILYL has just started to pay dividends.
VODAF,2024-11-26,2024-11-27,2025-05-19,2013-07-01,VODACOM GROUP LIMITED,0.31,0.0,5.75,5.47,78.56,EQUITY,0.158,Payout Ratio falls within the high risk (>75%).,This is in line with the previous dividend.,VODAF has just started to pay dividends.
UUGWF,2024-11-28,2024-11-29,2025-05-15,2013-08-02,UNITED UTILITIES GROUP PLC,0.64,0.0,13.454,4.74,299.88,EQUITY,0.422,Payout Ratio falls within the high risk (>75%).,This is in line with the previous dividend.,UUGWF has just started to pay dividends.
FATBP,2025-04-09,2025-04-10,2025-04-29,2025-04-21,FAT Brands Inc. - 8.25% Series ,2.06,8.02,8.03,25.68,0.0,EQUITY,0.172,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"FATBP started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 13.33%."
LANDO,2025-03-18,2025-03-19,2025-05-05,2025-03-31,Gladstone Land Corporation - 6.,1.5,19.88,20.08,7.47,0.0,EQUITY,0.125,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"LANDO started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
NREF-PA,2025-04-14,2025-04-15,2025-04-30,2025-04-25,"NexPoint Real Estate Finance, I",2.13,24.05,23.91,8.84,0.0,EQUITY,0.53125,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"NREF-PA started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
OCCIO,2025-04-16,2025-04-17,2025-06-09,2025-07-31,"OFS Credit Company, Inc. - 6.12",1.53,24.83,24.8258,6.17,0.0,EQUITY,0.128,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"OCCIO started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 77.14%."
OCCIN,2025-04-16,2025-04-17,2025-06-09,2025-07-31,"OFS Credit Company, Inc. - 5.25",1.31,23.78,23.8001,5.51,0.0,EQUITY,0.109,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"OCCIN started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 6.73%."
OCCIM,2025-04-16,2025-04-17,2025-06-09,2025-07-31,"OFS Credit Company, Inc. - 7.87",1.97,24.84,24.75,7.95,0.0,EQUITY,0.164,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,OCCIM has just started to pay dividends.
MNSBP,2025-03-13,2025-03-14,2025-04-21,2025-03-30,"MainStreet Bancshares, Inc. - D",1.88,24.85,24.6592,7.6,0.0,EQUITY,0.469,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"MNSBP started paying dividends 6 years ago, but there is no recorded dividend growth in the last 4 years."
ALTG-PA,2025-01-14,2025-01-15,2025-05-06,2025-01-31,Alta Equipment Group Inc. Depos,2.5,25.68,25.6873,9.78,0.0,EQUITY,0.625,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"ALTG-PA started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -8.43%."
NXDT-PA,2025-03-23,2025-03-24,2025-05-08,2025-03-31,NexPoint Diversified Real Estat,1.38,15.4,15.1,9.32,0.0,EQUITY,0.34375,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"NXDT-PA started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
GNL-PB,2025-04-03,2025-04-04,2025-05-05,2025-04-15,"Global Net Lease, Inc. 6.875% S",1.72,21.61,21.5881,7.96,0.0,EQUITY,0.429688,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"GNL-PB started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
GNL-PD,2025-04-03,2025-04-04,2025-05-05,2025-04-15,"Global Net Lease, Inc. 7.50% Se",1.88,23.59,23.41,8.01,0.0,EQUITY,0.46875,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"GNL-PD started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
GNL-PE,2025-04-03,2025-04-04,2025-05-05,2025-04-15,"Global Net Lease, Inc. 7.375% S",1.84,22.7691,22.94,8.04,0.0,EQUITY,0.460938,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"GNL-PE started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
SYF-PB,2025-02-02,2025-02-03,2025-04-22,2025-02-18,Synchrony Financial Depositary ,2.06,25.02,25.05,8.23,0.0,EQUITY,0.515625,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,SYF-PB has just started to pay dividends.
SYF-PA,2025-02-02,2025-02-03,2025-04-22,2025-02-18,Synchrony Financial Depositary ,1.41,17.63,17.65,7.8,0.0,EQUITY,0.351563,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"SYF-PA started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
FTAIN,2025-03-09,2025-03-10,2025-04-23,2025-03-17,FTAI Aviation Ltd. - 8.25% Fixe,2.06,25.25,25.25,8.17,0.0,EQUITY,0.516,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"FTAIN started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 3.03%."
FTAIM,2025-03-09,2025-03-10,2025-04-23,2025-03-17,FTAI Aviation Ltd. - 9.500% Fix,2.38,25.83,25.92,9.16,0.0,EQUITY,0.594,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"FTAIM started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
ATGPF,2025-03-16,2025-03-17,2025-03-07,2024-03-28,ALTAGAS LTD 5% CUM RED 5 YR RAT,0.57,0.0,13.85,4.1,0.0,EQUITY,0.13371788,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,ATGPF has just started to pay dividends.
LFT-PA,2025-03-31,2025-04-01,2025-05-07,2025-04-15,"Lument Finance Trust, Inc. 7.87",1.97,22.3478,22.686,8.62,0.0,EQUITY,0.492188,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"LFT-PA started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 6.48%."
VIASP,2025-03-31,2025-04-01,2025-02-26,2025-04-15,"Via Renewables, Inc. - 8.75% Se",2.93,23.4637,24.05,12.2,0.0,EQUITY,0.696,Payout Ratio falls within the low risk (<35%).,Reflecting a -3.16% cut.,VIASP has just started to pay dividends.
BHFAO,2025-03-09,2025-03-10,2025-05-05,2025-03-25,"Brighthouse Financial, Inc. - D",1.69,19.97,19.99,8.44,0.0,EQUITY,0.422,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"BHFAO started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is -6.64%."
BHFAN,2025-03-09,2025-03-10,2025-05-05,2025-03-25,"Brighthouse Financial, Inc. - d",1.34,15.74,15.7,8.56,0.0,EQUITY,0.336,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"BHFAN started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
BHFAM,2025-03-09,2025-03-10,2025-05-05,2025-03-25,"Brighthouse Financial, Inc. - D",1.16,13.87,14.01,8.25,0.0,EQUITY,0.289,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"BHFAM started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
TFINP,2025-03-13,2025-03-14,2025-04-15,2025-03-30,"Triumph Financial, Inc. - Depos",1.78,21.68,21.8,8.17,0.0,EQUITY,0.445,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"TFINP started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is -14.95%."
YKLTF,2025-03-27,2025-03-28,2025-05-11,2018-12-06,YAKULT HONSHA CO,0.43,0.0,19.97,2.13,35.45,EQUITY,0.21350414,Payout Ratio falls within the medium risk (35%-75%).,This is in line with the previous dividend.,"YKLTF started paying dividends 15 years ago, and dividends have been growing for 6 years. Dividend Growth Rate for the last 5 years is 19.74%."
BRENF,2025-04-14,2025-04-15,2025-05-01,2021-11-01,BROOKFIELD RENEWABLE PARTNERS L,0.97,0.0,15.94,6.07,0.0,EQUITY,0.24034259,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"BRENF started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
BEP-PA,2025-04-14,2025-04-15,2025-05-01,2025-04-30,Brookfield Renewable Partners L,1.31,17.66,18.0201,6.69,0.0,EQUITY,0.328125,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"BEP-PA started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is -10.53%."
FGBIP,2025-02-13,2025-02-14,2025-04-28,2025-03-03,"First Guaranty Bancshares, Inc.",1.69,19.0,18.85,8.95,0.0,EQUITY,0.422,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"FGBIP started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 27.64%."
CNVEF,2025-03-13,2025-03-14,2025-04-29,2024-04-01,CENOVUS ENERGY INC,0.45,0.0,12.6859,3.57,0.0,EQUITY,0.112609684,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"CNVEF started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
JPM-PM,2025-01-29,2025-01-30,2025-04-11,2025-03-03,J P Morgan Chase & Co Depositar,1.05,18.34,18.35,5.72,0.0,EQUITY,0.2625,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"JPM-PM started paying dividends 5 years ago, but there is no recorded dividend growth in the last 3 years."
JPM-PL,2025-01-29,2025-01-30,2025-04-11,2025-03-03,J P Morgan Chase & Co Depositar,1.16,19.95,19.94,5.8,0.0,EQUITY,0.289075,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"JPM-PL started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -2.84%."
JPM-PK,2025-01-29,2025-01-30,2025-04-11,2025-03-03,J P Morgan Chase & Co Depositar,1.14,19.58,19.56,5.82,0.0,EQUITY,0.284375,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"JPM-PK started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 5.01%."
JPM-PJ,2025-01-29,2025-01-30,2025-04-11,2025-03-03,J P Morgan Chase & Co Depositar,1.19,20.56,20.38,5.83,0.0,EQUITY,0.296875,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"JPM-PJ started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
SCHW-PJ,2025-02-13,2025-02-14,2025-04-17,2025-03-03,The Charles Schwab Corporation ,1.11,19.4,19.57,5.69,0.0,EQUITY,0.27825,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"SCHW-PJ started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 10.15%."
IMPPP,2025-03-25,2025-03-26,2025-05-15,2025-03-31,Imperial Petroleum Inc. - 8.75%,2.19,24.7,24.7277,8.85,0.0,EQUITY,0.547,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"IMPPP started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 35.14%."
EICC,2025-04-09,2025-04-10,2025-05-19,2025-06-30,Eagle Point Income Company Inc.,2.0,25.07,25.12,7.96,0.0,EQUITY,0.167,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,EICC has just started to pay dividends.
EICA,2025-04-09,2025-04-10,2025-05-19,2025-06-30,Eagle Point Income Company Inc.,1.25,24.2,24.21,5.16,0.0,EQUITY,0.104,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"EICA started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
FTRSF,2025-05-15,2025-05-16,2025-04-29,2024-09-01,Fortis Inc.,1.07,0.0,15.4,6.95,0.0,EQUITY,0.2676514,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"FTRSF started paying dividends 7 years ago, and dividends have been growing for 6 years. Dividend Growth Rate for the last 5 years is 6.87%."
FORFF,2025-05-15,2025-05-16,2025-04-29,2024-06-01,FORTIS INC 1ST PRF CUM RED SERI,0.86,0.0,15.0,5.71,0.0,EQUITY,0.21415837,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"FORFF started paying dividends 7 years ago, but there is no recorded dividend growth in the last 5 years."
DBRG-PJ,2025-04-09,2025-04-10,2025-04-28,2025-04-15,"DigitalBridge Group, Inc. 7.125",1.78,23.47,23.42,7.61,0.0,EQUITY,0.445313,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"DBRG-PJ started paying dividends 9 years ago, but there is no recorded dividend growth in the last 5 years."
DBRG-PI,2025-04-09,2025-04-10,2025-04-28,2025-04-15,"DigitalBridge Group, Inc. 7.15%",1.79,23.41,23.45,7.62,0.0,EQUITY,0.446875,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"DBRG-PI started paying dividends 9 years ago, but there is no recorded dividend growth in the last 5 years."
DBRG-PH,2025-04-09,2025-04-10,2025-04-28,2025-04-15,"DigitalBridge Group, Inc. 7.125",1.78,23.86,23.7501,7.5,0.0,EQUITY,0.445313,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"DBRG-PH started paying dividends 11 years ago, but there is no recorded dividend growth in the last 5 years."
GPMT-PA,2025-03-31,2025-04-01,2025-05-05,2025-04-15,Granite Point Mortgage Trust In,1.75,16.7225,17.175,10.12,0.0,EQUITY,0.4375,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"GPMT-PA started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 30.48%."
LUXHP,2025-02-13,2025-02-14,2025-04-01,2025-01-31,LuxUrban Hotels Inc. - 13.00% S,3.25,6.16,6.25,52.0,0.0,EQUITY,0.271,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"LUXHP started paying dividends 3 years ago, and dividends have been growing for 2 years. Dividend Growth Rate for the last 2 years is -7.39%."
MDV-PA,2025-03-30,2025-03-31,2025-03-04,2025-04-15,"Modiv Industrial, Inc. 7.375% S",1.84,24.3,24.01,7.53,0.0,EQUITY,0.460938,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"MDV-PA started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
MSBIP,2025-03-16,2025-03-17,2025-04-23,2025-03-31,"Midland States Bancorp, Inc. - ",1.94,24.38,23.82,8.13,0.0,EQUITY,0.484,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"MSBIP started paying dividends 4 years ago, but there is no recorded dividend growth in the last 2 years."
PSA-PG,2025-03-12,2025-03-13,2025-04-28,2025-03-28,Public Storage Depositary Share,1.26,20.92,20.87,6.05,0.0,EQUITY,0.315625,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"PSA-PG started paying dividends 9 years ago, and dividends have been growing for 7 years. Dividend Growth Rate for the last 5 years is 0.00%."
PSA-PF,2025-03-12,2025-03-13,2025-04-28,2025-03-28,Public Storage Depositary Share,1.29,21.14,21.13,6.09,0.0,EQUITY,0.3219,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"PSA-PF started paying dividends 9 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is 0.00%."
PSA-PQ,2025-03-12,2025-03-13,2025-04-28,2025-03-28,Public Storage Depositary Share,0.99,16.24,16.2,6.1,0.0,EQUITY,0.2469,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"PSA-PQ started paying dividends 4 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is 0.00%."
PSA-PP,2025-03-12,2025-03-13,2025-04-28,2025-03-28,Public Storage Depositary Share,1.0,16.26,16.3,6.13,0.0,EQUITY,0.25,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"PSA-PP started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -3.78%."
PSA-PO,2025-03-12,2025-03-13,2025-04-28,2025-03-28,Public Storage Depositary Share,0.97,16.05,16.04,6.08,0.0,EQUITY,0.2437,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"PSA-PO started paying dividends 5 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is -0.02%."
PSA-PN,2025-03-12,2025-03-13,2025-04-28,2025-03-28,Public Storage Depositary Share,0.97,16.15,16.05,6.04,0.0,EQUITY,0.2422,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"PSA-PN started paying dividends 5 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is 0.00%."
PSA-PM,2025-03-12,2025-03-13,2025-04-28,2025-03-28,Public Storage Depositary Share,1.03,17.11,17.07,6.04,0.0,EQUITY,0.2578,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"PSA-PM started paying dividends 5 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is -0.01%."
PSA-PL,2025-03-12,2025-03-13,2025-04-28,2025-03-28,Public Storage Depositary Share,1.16,18.9,18.92,6.11,0.0,EQUITY,0.2891,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"PSA-PL started paying dividends 6 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is 0.00%."
PSA-PS,2025-03-12,2025-03-13,2025-04-28,2025-03-28,Public Storage Depositary Share,1.02,16.75,16.77,6.11,0.0,EQUITY,0.2562,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"PSA-PS started paying dividends 4 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is -0.02%."
PSA-PR,2025-03-12,2025-03-13,2025-04-28,2025-03-28,Public Storage Depositary Share,1.0,16.26,16.35,6.12,0.0,EQUITY,0.25,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"PSA-PR started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
PSA-PJ,2025-03-12,2025-03-13,2025-04-28,2025-03-28,Public Storage Depositary Share,1.18,19.49,19.31,6.09,0.0,EQUITY,0.2938,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"PSA-PJ started paying dividends 6 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is 0.01%."
PSA-PI,2025-03-12,2025-03-13,2025-04-28,2025-03-28,Public Storage Depositary Share,1.22,20.11,20.08,6.07,0.0,EQUITY,0.3047,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"PSA-PI started paying dividends 5 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is 0.00%."
BAFBF,2025-05-14,2025-05-15,2025-03-12,2017-12-01,BALFOUR BEATTY,0.16,0.0,5.75,2.79,35.01,EQUITY,0.049,Payout Ratio falls within the medium risk (35%-75%).,Reflecting a -106.12% cut.,BAFBF has just started to pay dividends.
