Symbol,shortName,dividendRate,lastDividendValue,previousClose,currentPrice,dividendYield,payoutRatio,quoteType,trailingAnnualDividendRate,trailingAnnualDividendYield,AnnualRate,message,DividendDate,ExDividendDate,EarningsDate,payoutdate,buy_date,hist,insight
WPM,Wheaton Precious Metals Corp,0.155,0.155,68.85,68.94,90.0,45.790002,EQUITY,0.615,0.008932462,0.62,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2024-12-05,2024-11-21,2025-03-13,2024-12-06,2024-11-20,This is line with previous dividend., WPM first paid dividend 14 years ago but dividends are growing only for 6 years. Dividend Growth Rate for last 5 years is 9.16%
NVZMY,NOVONESIS A S,0.145,0.298,56.12,56.97,104.0,88.96,EQUITY,1.1,0.019600855,0.58,"Payout Ratio falls within the ""high risk"" range (>75%).",2024-09-17,2024-09-09,2025-02-26,2024-09-18,2024-09-08,Reflecting a 0.48657718120805366% cut., NVZMY first paid dividend 15 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 3.11%
FTV,Fortive Corporation,0.08,0.08,80.1,79.6,40.0,13.56,EQUITY,0.32,0.0039950064,0.32,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-27,2025-02-28,2025-04-22,2025-03-28,2025-02-27,This is line with previous dividend., FTV first paid dividend 9 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
PUBGY,Publicis Groupe S.A.,0.2275,0.056,27.0,26.65,336.0,51.970000000000006,EQUITY,3.6,0.13333333,0.91,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2024-07-22,2024-07-08,2025-02-04,2024-07-23,2024-07-07,Reflecting a 306.25% increase., PUBGY first paid dividend 24 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is -93.54%
PPG,"PPG Industries, Inc.",0.68,0.68,113.53,114.39,238.0,46.5,EQUITY,2.66,0.023429932,2.72,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-11,2025-02-21,2025-04-16,2025-03-12,2025-02-20,This is line with previous dividend., PPG first paid dividend 43 years ago but dividends are growing only for 8 years. Dividend Growth Rate for last 5 years is 5.92%
BR,"Broadridge Financial Solutions,",0.88,0.88,236.43,236.8,149.0,52.580000000000005,EQUITY,3.36,0.014211395,3.52,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-04-02,2025-03-13,2025-05-06,2025-04-03,2025-03-12,This is line with previous dividend., BR first paid dividend 18 years ago but dividends are growing only for 17 years. Dividend Growth Rate for last 5 years is 10.26%
CQP,"Cheniere Energy Partners, LP",0.8125,0.82,63.97,63.57,508.0,81.53,EQUITY,3.25,0.050805062,3.25,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-02-13,2025-02-10,2025-05-01,2025-02-14,2025-02-09,Reflecting a 0.9908536585365855% cut., CQP first paid dividend 19 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 1.23%
NUE,Nucor Corporation,0.55,0.55,136.18,136.08,162.0,25.650000000000002,EQUITY,2.17,0.015934793,2.2,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-05-11,2025-03-31,2025-04-21,2025-05-12,2025-03-30,This is line with previous dividend., NUE first paid dividend 42 years ago but dividends are growing only for 16 years. Dividend Growth Rate for last 5 years is 6.42%
ERIXF,Ericsson (L.M.) Telephone Co.,0.065,0.001,7.75,8.25,312.0,27000.0,EQUITY,2.85,0.3677419,0.26,"Payout Ratio falls within the ""high risk"" range (>75%).",2013-04-16,2025-03-26,2025-04-15,2013-04-17,2025-03-25,Reflecting a 6400.0% increase., ERIXF first paid dividend 5 years ago but dividends are growing only for 7 years. Dividend Growth Rate for last 5 years is 0.00%
SW,Smurfit WestRock plc,0.5775,0.303,53.85,52.99,436.00000000000006,228.5,EQUITY,0.605,0.011234912,2.31,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-17,2025-02-14,2025-02-12,2025-03-18,2025-02-13,Reflecting a 90.59405940594061% increase., SW first paid dividend 1 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
EQR,Equity Residential,0.675,0.675,72.21,72.98,370.0,99.26,EQUITY,2.7,0.037390944,2.7,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-01-16,2025-01-02,2025-04-21,2025-01-17,2025-01-01,This is line with previous dividend., EQR first paid dividend 33 years ago but dividends are growing only for 8 years. Dividend Growth Rate for last 5 years is 2.28%
DOW,Dow Inc.,0.7,0.7,39.05,39.23,717.0,178.33999,EQUITY,2.8,0.07170294,2.8,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-13,2025-02-28,2025-04-24,2025-03-14,2025-02-27,This is line with previous dividend., DOW first paid dividend 6 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
GOLD,Barrick Gold Corporation,0.1,0.1,18.27,18.07,219.0,32.790002,EQUITY,0.4,0.021893814,0.4,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-16,2025-02-28,2025-04-29,2025-03-17,2025-02-27,This is line with previous dividend., GOLD first paid dividend 38 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
TSCO,Tractor Supply Company,0.23,1.1,56.06,57.01,164.0,43.14,EQUITY,0.88,0.015697466,0.92,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-10,2025-02-26,2025-04-23,2025-03-11,2025-02-25,Reflecting a 0.20909090909090908% cut., TSCO first paid dividend 15 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 400.00%
CVE,Cenovus Energy Inc,0.1275,0.133,14.4,14.06,361.0,48.8,EQUITY,0.815,0.056597225,0.51,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-30,2025-03-14,2025-04-29,2025-03-31,2025-03-13,Reflecting a 0.9586466165413533% cut., CVE first paid dividend 16 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 27.88%
K,Kellanova,0.57,0.57,82.72,82.69,276.0,58.25,EQUITY,2.26,0.027321083,2.28,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-13,2025-03-03,2025-04-30,2025-03-14,2025-03-02,This is line with previous dividend., K first paid dividend 41 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 1.79%
TPL,Texas Pacific Land Corporation,1.6,1.6,1293.92,1289.23,49.0,25.900000000000002,EQUITY,5.11,0.0039492394,6.4,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-16,2025-03-03,2025-05-06,2025-03-17,2025-03-02,This is line with previous dividend., TPL first paid dividend 36 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 37.14%
FITB,Fifth Third Bancorp,0.37,0.37,42.99,43.01,344.0,45.86,EQUITY,1.44,0.03349616,1.48,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-01-14,2024-12-31,2025-04-17,2025-01-15,2024-12-30,This is line with previous dividend., FITB first paid dividend 39 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 8.20%
EQT,EQT Corporation,0.1575,0.158,50.08,48.84,129.0,140.0,EQUITY,0.63,0.012579871,0.63,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-02,2025-02-18,2025-04-21,2025-03-03,2025-02-17,Reflecting a 0.9968354430379747% cut., EQT first paid dividend 38 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 2.63%
STT,State Street Corporation,0.76,0.76,98.55,97.21,313.0,35.32,EQUITY,2.9,0.029426686,3.04,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-04-10,2025-04-01,2025-04-10,2025-04-11,2025-03-31,This is line with previous dividend., STT first paid dividend 39 years ago but dividends are growing only for 11 years. Dividend Growth Rate for last 5 years is 7.89%
BSBR,Banco Santander Brasil SA,0.0725,0.071,4.61,4.65,617.0,89.25,EQUITY,0.853,0.18503253,0.29,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-02-23,2025-01-24,2025-04-28,2025-02-24,2025-01-23,Reflecting a 2.1126760563380254% increase., BSBR first paid dividend 16 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is -10.13%
XYL,Xylem Inc.,0.4,0.4,128.23,128.06,125.0,39.450002,EQUITY,1.44,0.011229822,1.6,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-18,2025-02-18,2025-04-30,2025-03-19,2025-02-17,This is line with previous dividend., XYL first paid dividend 15 years ago but dividends are growing only for 13 years. Dividend Growth Rate for last 5 years is 9.00%
HPE,Hewlett Packard Enterprise Comp,0.13,0.13,20.75,20.29,256.0,26.939999999999998,EQUITY,0.52,0.02506024,0.52,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-01-15,2024-12-20,2025-03-06,2025-01-16,2024-12-19,This is line with previous dividend., HPE first paid dividend 10 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
GPN,Global Payments Inc.,0.25,0.25,103.84,103.43,97.0,16.229999,EQUITY,1.0,0.0096302,1.0,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-27,2025-03-14,2025-04-29,2025-03-28,2025-03-13,This is line with previous dividend., GPN first paid dividend 24 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 6.41%
CAH,"Cardinal Health, Inc.",0.505,0.506,127.55,127.81,158.0,37.57,EQUITY,2.017,0.015813407,2.02,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-04-14,2025-04-01,2025-04-30,2025-04-15,2025-03-31,Reflecting a 0.9980237154150198% cut., CAH first paid dividend 40 years ago but dividends are growing only for 15 years. Dividend Growth Rate for last 5 years is 1.02%
HEI,Heico Corporation,0.055,0.11,229.57,227.87,10.0,5.72,EQUITY,0.21,0.0009147536,0.22,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-01-16,2025-01-03,2025-02-26,2025-01-17,2025-01-02,Reflecting a 0.5% cut., HEI first paid dividend 39 years ago but dividends are growing only for 11 years. Dividend Growth Rate for last 5 years is 6.58%
CHT,"Chunghwa Telecom Co., Ltd.",0.3675,1.529,39.24,38.78,376.0,102.0,EQUITY,0.0,0.0,1.47,"Payout Ratio falls within the ""high risk"" range (>75%).",2024-08-14,2024-07-03,2025-04-30,2024-08-15,2024-07-02,Reflecting a 0.24035317200784828% cut., CHT first paid dividend 20 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 0.00%
BRO,"Brown & Brown, Inc.",0.15,0.15,112.6,114.77,52.0,15.609999,EQUITY,0.54,0.0047957376,0.6,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-02-11,2025-02-05,2025-04-21,2025-02-12,2025-02-04,This is line with previous dividend., BRO first paid dividend 39 years ago but dividends are growing only for 27 years. Dividend Growth Rate for last 5 years is 12.03%
ABEV,Ambev S.A.,0.0275,0.147,1.9,1.89,574.0,83.15,EQUITY,0.73,0.38421053,0.11,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-01-16,2024-12-23,2025-02-26,2025-01-17,2024-12-22,Reflecting a 0.1870748299319728% cut., ABEV first paid dividend 25 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 0.00%
PPRUY,Kering SA,0.3075,1.009,28.43,28.62,432.0,151.79,EQUITY,6.0,0.21104467,1.23,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-01-30,2025-01-13,2025-02-11,2025-01-31,2025-01-12,Reflecting a 0.3047571853320119% cut., PPRUY first paid dividend 13 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
QSR,Restaurant Brands International,0.62,0.58,63.84,64.27,388.0,72.96000000000001,EQUITY,2.32,0.03634085,2.48,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-04-03,2025-03-21,2025-04-28,2025-04-04,2025-03-20,Reflecting a 6.896551724137945% increase., QSR first paid dividend 10 years ago but dividends are growing only for 10 years. Dividend Growth Rate for last 5 years is 2.21%
TW,Tradeweb Markets Inc.,0.12,0.1,132.28,132.12,36.0,17.169999999999998,EQUITY,0.4,0.0030238887,0.48,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-16,2025-03-03,2025-04-30,2025-03-17,2025-03-02,Reflecting a 19.999999999999996% increase., TW first paid dividend 6 years ago but dividends are growing only for 3 years. Dividend Growth Rate for last 3 years is 7.72%
EBAY,eBay Inc.,0.27,0.27,69.99,70.93,154.0,26.700002,EQUITY,1.06,0.015145021,1.08,"Payout Ratio falls within the ""low risk"" range (<35%).",2024-12-12,2024-11-29,2025-02-26,2024-12-13,2024-11-28,This is line with previous dividend., EBAY first paid dividend 6 years ago but dividends are growing only for 6 years. Dividend Growth Rate for last 5 years is 11.03%
FCNCA,"First Citizens BancShares, Inc.",1.95,1.95,2025.02,1993.74,39.0,3.63,EQUITY,6.87,0.003392559,7.8,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-16,2025-02-28,2025-04-23,2025-03-17,2025-02-27,This is line with previous dividend., FCNCA first paid dividend 39 years ago but dividends are growing only for 37 years. Dividend Growth Rate for last 5 years is 37.28%
WEC,"WEC Energy Group, Inc.",0.8925,0.893,104.88,105.89,337.0,69.15,EQUITY,3.34,0.03184592,3.57,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-02-28,2025-02-14,2025-04-29,2025-03-01,2025-02-13,Reflecting a 0.9994400895856662% cut., WEC first paid dividend 40 years ago but dividends are growing only for 10 years. Dividend Growth Rate for last 5 years is 7.12%
WDS,Woodside Energy Group Limited,0.3225,0.69,14.61,14.99,883.0,144.03,EQUITY,0.0,0.0,1.29,"Payout Ratio falls within the ""high risk"" range (>75%).",2024-10-02,2024-09-06,2025-02-24,2024-10-03,2024-09-05,Reflecting a 0.4673913043478261% cut., WDS first paid dividend 24 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 15.00%
FER,Ferrovial SE,0.21,0.036,43.85,44.61,192.0,71.660006,EQUITY,0.766,0.017468642,0.84,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2024-06-20,2024-12-16,2025-05-12,2024-06-21,2024-12-15,Reflecting a 483.33333333333337% increase., FER first paid dividend 8 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is -89.09%
MPWR,"Monolithic Power Systems, Inc.",1.56,1.25,652.74,651.32,96.0,13.66,EQUITY,5.0,0.007660018,6.24,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-04-14,2025-03-31,2025-04-29,2025-04-15,2025-03-30,Reflecting a 24.8% increase., MPWR first paid dividend 12 years ago but dividends are growing only for 8 years. Dividend Growth Rate for last 5 years is 20.11%
GWLIF,"Great West Lifeco, Inc.",0.425,0.412,37.17,37.06,459.99999999999994,51.74999999999999,EQUITY,2.22,0.05972559,1.7,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2024-12-30,2025-03-03,2025-05-07,2024-12-31,2025-03-02,Reflecting a 3.1553398058252524% increase., GWLIF first paid dividend 11 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 3.85%
HPQ,HP Inc.,0.29,0.289,34.67,34.1,339.0,39.23,EQUITY,1.102,0.031785406,1.16,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-04-01,2025-03-12,2025-02-27,2025-04-02,2025-03-11,Reflecting a 0.34602076124568004% increase., HPQ first paid dividend 60 years ago but dividends are growing only for 14 years. Dividend Growth Rate for last 5 years is 10.43%
EIX,Edison International,0.8275,0.828,52.23,52.16,635.0,91.230005,EQUITY,3.12,0.059735782,3.31,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-01-30,2025-01-07,2025-02-27,2025-01-31,2025-01-06,Reflecting a 0.9993961352657006% cut., EIX first paid dividend 50 years ago but dividends are growing only for 21 years. Dividend Growth Rate for last 5 years is 5.35%
ED,"Consolidated Edison, Inc.",0.85,0.85,99.68,100.97,337.0,63.36000000000001,EQUITY,3.32,0.03330658,3.4,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-13,2025-02-19,2025-04-30,2025-03-14,2025-02-18,This is line with previous dividend., ED first paid dividend 64 years ago but dividends are growing only for 44 years. Dividend Growth Rate for last 5 years is 2.13%
VICI,VICI Properties Inc.,0.4325,0.433,31.95,32.62,541.0,66.21000000000001,EQUITY,1.695,0.053051643,1.73,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-01-08,2024-12-17,2025-04-29,2025-01-09,2024-12-16,Reflecting a 0.9988452655889145% cut., VICI first paid dividend 7 years ago but dividends are growing only for 7 years. Dividend Growth Rate for last 5 years is 7.76%
IRM,Iron Mountain Incorporated (Del,0.785,0.715,91.46,92.4,340.0,447.53999999999996,EQUITY,2.73,0.029849116,3.14,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-04-03,2025-03-17,2025-04-30,2025-04-04,2025-03-16,Reflecting a 9.790209790209792% increase., IRM first paid dividend 15 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 7.48%
AVB,"AvalonBay Communities, Inc.",1.75,1.7,220.97,223.62,313.0,89.47,EQUITY,6.8,0.030773409,7.0,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-04-14,2025-03-31,2025-04-23,2025-04-15,2025-03-30,Reflecting a 2.941176470588247% increase., AVB first paid dividend 27 years ago but dividends are growing only for 3 years. Dividend Growth Rate for last 3 years is 2.25%
MCHP,Microchip Technology Incorporat,0.455,0.455,60.83,60.17,302.0,317.72,EQUITY,1.811,0.029771494,1.82,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-06,2025-02-24,2025-05-05,2025-03-07,2025-02-23,This is line with previous dividend., MCHP first paid dividend 24 years ago but dividends are growing only for 22 years. Dividend Growth Rate for last 5 years is 19.85%
WTW,Willis Towers Watson Public Lim,0.92,0.88,328.2,332.82,111.00000000000001,33.14,EQUITY,0.0,0.0,3.68,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-01-14,2025-03-31,2025-04-23,2025-01-15,2025-03-30,Reflecting a 4.545454545454541% increase., WTW first paid dividend 22 years ago but dividends are growing only for 9 years. Dividend Growth Rate for last 5 years is 5.29%
FRFHF,Fairfax Financial Holdings Ltd.,3.75,15.0,1439.0,1442.69,105.0,9.34,EQUITY,15.0,0.010423905,15.0,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-01-22,2025-01-16,2025-04-30,2025-01-23,2025-01-15,Reflecting a 0.25% cut., FRFHF first paid dividend 19 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 0.00%
DD,"DuPont de Nemours, Inc.",0.41,0.38,81.82,81.88,200.0,85.88,EQUITY,1.52,0.018577365,1.64,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-16,2025-03-03,2025-04-29,2025-03-17,2025-03-02,Reflecting a 7.8947368421052655% increase., DD first paid dividend 53 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 6.09%
ANYYY,Aena SME S.A.,0.2075,0.829,22.18,22.31,370.0,59.45,EQUITY,0.0,0.0,0.83,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",,,,,,Reflecting a 0.2503015681544029% cut., ANYYY first paid dividend 2 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 27.87%
EFX,"Equifax, Inc.",0.39,0.39,239.87,245.39,64.0,32.23,EQUITY,1.56,0.006503523,1.56,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-13,2025-02-21,2025-04-15,2025-03-14,2025-02-20,This is line with previous dividend., EFX first paid dividend 39 years ago but dividends are growing only for 14 years. Dividend Growth Rate for last 5 years is 0.00%
MTB,M&T Bank Corporation,1.35,1.35,192.9,190.61,283.0,36.540002,EQUITY,5.35,0.027734578,5.4,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-30,2025-03-03,2025-04-14,2025-03-31,2025-03-02,This is line with previous dividend., MTB first paid dividend 38 years ago but dividends are growing only for 7 years. Dividend Growth Rate for last 5 years is 4.18%
MLM,"Martin Marietta Materials, Inc.",0.79,0.79,490.64,490.29,64.0,9.4399996,EQUITY,3.06,0.0062367516,3.16,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-30,2025-03-03,2025-04-28,2025-03-31,2025-03-02,This is line with previous dividend., MLM first paid dividend 31 years ago but dividends are growing only for 21 years. Dividend Growth Rate for last 5 years is 7.51%
HIG,"The Hartford Insurance Group, I",0.52,0.52,113.82,116.41,179.0,18.65,EQUITY,1.93,0.016956598,2.08,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-04-01,2025-03-03,2025-04-23,2025-04-02,2025-03-02,This is line with previous dividend., HIG first paid dividend 29 years ago but dividends are growing only for 9 years. Dividend Growth Rate for last 5 years is 9.86%
HUM,Humana Inc.,0.885,0.885,255.0,259.27,137.0,35.47,EQUITY,3.54,0.013882353,3.54,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-04-24,2025-03-28,2025-04-22,2025-04-25,2025-03-27,This is line with previous dividend., HUM first paid dividend 26 years ago but dividends are growing only for 8 years. Dividend Growth Rate for last 5 years is 7.20%
ROK,"Rockwell Automation, Inc.",1.31,1.31,292.63,288.75,181.0,63.01,EQUITY,5.06,0.01729146,5.24,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-09,2025-02-18,2025-05-05,2025-03-10,2025-02-17,This is line with previous dividend., ROK first paid dividend 44 years ago but dividends are growing only for 19 years. Dividend Growth Rate for last 5 years is 5.13%
RJF,"Raymond James Financial, Inc.",0.5,0.5,151.68,150.94,133.0,18.07,EQUITY,1.85,0.012196731,2.0,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-04-14,2025-04-01,2025-04-23,2025-04-15,2025-03-31,This is line with previous dividend., RJF first paid dividend 40 years ago but dividends are growing only for 13 years. Dividend Growth Rate for last 5 years is 15.18%
IMO,Imperial Oil Limited,0.5,0.443,68.97,68.4,292.0,26.58,EQUITY,2.4,0.03479774,2.0,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-31,2025-03-05,2025-04-24,2025-04-01,2025-03-04,Reflecting a 12.866817155756216% increase., IMO first paid dividend 38 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.23%
WAB,Westinghouse Air Brake Technolo,0.25,0.25,182.0,182.05,55.00000000000001,13.25,EQUITY,0.8,0.0043956046,1.0,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-06,2025-02-21,2025-04-22,2025-03-07,2025-02-20,This is line with previous dividend., WAB first paid dividend 31 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 20.14%
ETR,Entergy Corporation,0.6,0.6,85.29,85.44,281.0,93.67,EQUITY,2.31,0.027084066,2.4,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-02,2025-02-10,2025-04-22,2025-03-03,2025-02-09,This is line with previous dividend., ETR first paid dividend 52 years ago but dividends are growing only for 0 years. Dividend Growth Rate for last 0 years is 0.00%
EXR,Extra Space Storage Inc,1.62,1.62,159.04,161.28,401.99999999999994,172.8,EQUITY,6.48,0.04074447,6.48,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-30,2025-03-14,2025-04-28,2025-03-31,2025-03-13,This is line with previous dividend., EXR first paid dividend 21 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
PPERY,PT Bank Mandiri Persero TBK,0.2225,0.908,12.32,11.93,745.0,59.040000000000006,EQUITY,0.0,0.0,0.89,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2024-04-11,2024-03-22,2025-04-28,2024-04-12,2024-03-21,Reflecting a 0.2450440528634361% cut., PPERY first paid dividend 16 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 31.35%
