symbol|shortName|dividendRate|previousClose|currentPrice|dividendYield|payoutRatio|quoteType|dividend|date|message|Ex-Dividend Date|Dividend Date|Earnings Date|payoutdate|buy_date|hist|insight
MA| Mastercard Incorporated |3.04|557.57|540.61|0.56|19.01|EQUITY|0.76|2025-01-10| Payout Ratio falls within the  low risk  range (<35%). |2025-04-09|2025-05-08|2025-04-29|2025-05-09|2025-04-08| This is line with previous dividend. |  MA first paid dividend 20 years ago but dividends are growing only for 13 years. Dividend Growth Rate for last 5 years is 13.70% 
XOM| Exxon Mobil Corporation |3.96|117.89|117.73|3.36|48.98|EQUITY|0.99|2025-02-12| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-12|2025-03-09|2025-04-03|2025-03-10|2025-02-11| This is line with previous dividend. |  XOM first paid dividend 64 years ago but dividends are growing only for 18 years. Dividend Growth Rate for last 5 years is 2.62% 
UNH| UnitedHealth Group Incorporated |8.4|515.72|516.04|1.63|52.74|EQUITY|2.1|2025-03-10| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-10|2025-03-17|2025-04-17|2025-03-18|2025-03-09| This is line with previous dividend. |  UNH first paid dividend 36 years ago but dividends are growing only for 12 years. Dividend Growth Rate for last 5 years is 10.93% 
ORCL| Oracle Corporation |2.0|145.78|140.87|1.42|37.56|EQUITY|0.4|2025-01-10| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-04-10|2025-04-22|2025-06-09|2025-04-23|2025-04-09| This is line with previous dividend. |  ORCL first paid dividend 17 years ago but dividends are growing only for 10 years. Dividend Growth Rate for last 5 years is 10.76% 
COST| Costco Wholesale Corporation |4.64|938.75|929.66|0.5|27.09|EQUITY|1.16|2025-02-07| Payout Ratio falls within the  low risk  range (<35%). |2025-02-07|2025-02-20|2025-05-29|2025-02-21|2025-02-06| This is line with previous dividend. |  COST first paid dividend 22 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00% 
PG| Procter & Gamble Company (The) |4.03|168.71|168.03|2.4|63.06|EQUITY|1.007|2025-01-24| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-01-24|2025-02-17|2025-04-24|2025-02-18|2025-01-23| This is line with previous dividend. |  PG first paid dividend 64 years ago but dividends are growing only for 22 years. Dividend Growth Rate for last 5 years is 4.95% 
NVO| Novo Nordisk A/S |1.62|70.16|69.3|2.33|43.78|EQUITY|0.513|2024-08-16| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-31|2025-04-07|2025-05-07|2025-04-08|2025-03-30| This is line with previous dividend. | NVO dividend growth is zero. 
HD| Home Depot  Inc. (The) |9.2|362.73|358.15|2.57|60.36|EQUITY|2.3|2025-03-13| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-13|2025-03-26|2025-05-20|2025-03-27|2025-03-12| This is line with previous dividend. |  HD first paid dividend 39 years ago but dividends are growing only for 13 years. Dividend Growth Rate for last 5 years is 8.92% 
JNJ| Johnson & Johnson |4.96|163.13|163.71|3.03|84.8|EQUITY|1.24|2025-02-18| Payout Ratio falls within the  high risk  range (>75%). |2025-02-18|2025-03-03|2025-04-15|2025-03-04|2025-02-17| This is line with previous dividend. |  JNJ first paid dividend 64 years ago but dividends are growing only for 45 years. Dividend Growth Rate for last 5 years is 4.19% 
BAC| Bank of America Corporation |1.04|42.56|41.25|2.52|31.15|EQUITY|0.26|2025-03-07| Payout Ratio falls within the  low risk  range (<35%). |2025-03-07|2025-03-27|2025-04-15|2025-03-28|2025-03-06| This is line with previous dividend. |  BAC first paid dividend 40 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 9.63% 
ABBV| AbbVie Inc. |6.56|202.72|205.29|3.2|259.41|EQUITY|1.64|2025-01-15| Payout Ratio falls within the  high risk  range (>75%). |2025-04-15|2025-05-14|2025-04-24|2025-05-15|2025-04-14| This is line with previous dividend. |  ABBV first paid dividend 13 years ago but dividends are growing only for 11 years. Dividend Growth Rate for last 5 years is 6.81% 
CRM| Salesforce  Inc. |1.68|277.81|269.97|0.62|25.16|EQUITY|0.4|2024-12-18| Payout Ratio falls within the  low risk  range (<35%). |2025-04-10|2025-04-23|2025-05-27|2025-04-24|2025-04-09| This is line with previous dividend. | CRM dividend growth is zero. 
SAP| SAP  SE |2.39|268.15|268.0|0.89|83.1|EQUITY|2.385|2024-05-16| Payout Ratio falls within the  high risk  range (>75%). |2024-05-16|2024-05-27|2025-04-22|2024-05-28|2024-05-15| This is line with previous dividend. | SAP dividend growth is zero. 
ASML| ASML Holding N.V. - New York Re |7.68|690.63|674.58|1.14|32.54|EQUITY|1.641|2024-10-29| Payout Ratio falls within the  low risk  range (<35%). |2025-04-28|2025-05-05|2025-04-16|2025-05-06|2025-04-27| This is line with previous dividend. | ASML dividend growth is zero. 
KO| Coca-Cola Company (The) |2.04|70.74|70.37|2.9|78.86|EQUITY|0.51|2025-03-14| Payout Ratio falls within the  high risk  range (>75%). |2025-03-14|2025-03-31|2025-04-29|2025-04-01|2025-03-13| This is line with previous dividend. |  KO first paid dividend 64 years ago but dividends are growing only for 24 years. Dividend Growth Rate for last 5 years is 4.46% 
CVX| Chevron Corporation |6.84|166.65|166.09|4.12|67.08|EQUITY|1.71|2025-02-14| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-14|2025-03-09|2025-04-24|2025-03-10|2025-02-13| This is line with previous dividend. |  CVX first paid dividend 57 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 6.29% 
TMUS| T-Mobile US  Inc. |3.52|268.28|264.93|1.33|29.3|EQUITY|0.88|2025-02-28| Payout Ratio falls within the  low risk  range (<35%). |2025-05-30|2025-06-11|2025-04-24|2025-06-12|2025-05-29| This is line with previous dividend. |  TMUS first paid dividend 4 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 35.38% 
MRK| Merck & Company  Inc. |3.24|87.6|89.23|3.63|46.29|EQUITY|0.81|2025-03-17| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-17|2025-04-06|2025-04-24|2025-04-07|2025-03-16| This is line with previous dividend. |  MRK first paid dividend 64 years ago but dividends are growing only for 14 years. Dividend Growth Rate for last 5 years is 6.83% 
WFC| Wells Fargo & Company |1.6|72.28|70.69|2.26|27.93|EQUITY|0.4|2025-02-07| Payout Ratio falls within the  low risk  range (<35%). |2025-02-07|2025-02-28|2025-04-11|2025-03-01|2025-02-06| This is line with previous dividend. |  WFC first paid dividend 54 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 41.42% 
CSCO| Cisco Systems  Inc. |1.64|61.4|60.86|2.69|70.18|EQUITY|0.4|2025-01-03| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-04-03|2025-04-22|2025-05-13|2025-04-23|2025-04-02| This is line with previous dividend. |  CSCO first paid dividend 15 years ago but dividends are growing only for 13 years. Dividend Growth Rate for last 5 years is 2.13% 
ACN| Accenture plc |5.92|308.53|304.33|1.95|45.67|EQUITY|1.48|2024-10-10| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-04-10|2025-05-14|2025-06-18|2025-05-15|2025-04-09| This is line with previous dividend. | ACN dividend growth is zero. 
BX| Blackstone Inc. |3.95|144.5|138.11|2.86|95.3|EQUITY|1.44|2025-02-10| Payout Ratio falls within the  high risk  range (>75%). |2025-02-10|2025-02-17|2025-04-16|2025-02-18|2025-02-09| This is line with previous dividend. |  BX first paid dividend 19 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 73.49% 
AXP| American Express Company |3.28|272.02|265.48|1.24|19.99|EQUITY|0.7|2025-01-03| Payout Ratio falls within the  low risk  range (<35%). |2025-04-04|2025-05-08|2025-04-17|2025-05-09|2025-04-03| This is line with previous dividend. |  AXP first paid dividend 49 years ago but dividends are growing only for 21 years. Dividend Growth Rate for last 5 years is 10.24% 
MCD| McDonald's Corporation |7.08|312.69|307.09|2.31|59.53|EQUITY|1.77|2025-03-03| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-03|2025-03-16|2025-04-28|2025-03-17|2025-03-02| This is line with previous dividend. |  MCD first paid dividend 51 years ago but dividends are growing only for 17 years. Dividend Growth Rate for last 5 years is 7.20% 
PEP| Pepsico  Inc. |5.42|149.67|149.27|3.63|76.69|EQUITY|1.355|2025-03-07| Payout Ratio falls within the  high risk  range (>75%). |2025-03-07|2025-03-30|2025-04-24|2025-03-31|2025-03-06| This is line with previous dividend. |  PEP first paid dividend 54 years ago but dividends are growing only for 12 years. Dividend Growth Rate for last 5 years is 5.78% 
AZN| Astrazeneca PLC |1.55|72.84|73.79|2.1|66.0|EQUITY|1.05|2025-02-21| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-21|2025-03-23|2025-04-29|2025-03-24|2025-02-20| This is line with previous dividend. |  AZN first paid dividend 33 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 110.00% 
IBM| International Business Machines |6.68|246.21|244.0|2.74|103.89|EQUITY|1.67|2025-02-10| Payout Ratio falls within the  high risk  range (>75%). |2025-02-10|2025-03-09|2025-04-23|2025-03-10|2025-02-09| This is line with previous dividend. |  IBM first paid dividend 64 years ago but dividends are growing only for 29 years. Dividend Growth Rate for last 5 years is 1.39% 
TMO| Thermo Fisher Scientific Inc |1.72|511.68|500.16|0.34|9.44|EQUITY|0.43|2025-03-14| Payout Ratio falls within the  low risk  range (<35%). |2025-03-14|2025-04-14|2025-04-22|2025-04-15|2025-03-13| This is line with previous dividend. |  TMO first paid dividend 17 years ago but dividends are growing only for 8 years. Dividend Growth Rate for last 5 years is 14.34% 
BABA| Alibaba Group Holding Limited |2.0|135.63|132.43|1.51|14.58|EQUITY|1.66|2024-06-13| Payout Ratio falls within the  low risk  range (<35%). |2024-06-13|2024-07-11|2025-05-12|2024-07-12|2024-06-12| This is line with previous dividend. | BABA dividend growth is zero. 
MS| Morgan Stanley |3.7|119.0|115.33|3.21|44.65|EQUITY|0.925|2025-01-31| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-01-31|2025-02-13|2025-04-11|2025-02-14|2025-01-30| This is line with previous dividend. |  MS first paid dividend 33 years ago but dividends are growing only for 9 years. Dividend Growth Rate for last 5 years is 21.45% 
DIS| Walt Disney Company (The) |1.0|100.45|98.07|1.02|30.84|EQUITY|0.5|2024-12-16| Payout Ratio falls within the  low risk  range (<35%). |2025-06-24|2025-07-22|2025-05-05|2025-07-23|2025-06-23| This is line with previous dividend. | DIS dividend growth is zero. 
ABT| Abbott Laboratories |2.36|131.35|130.82|1.8|28.8|EQUITY|0.59|2025-01-15| Payout Ratio falls within the  low risk  range (<35%). |2025-04-15|2025-05-14|2025-04-16|2025-05-15|2025-04-14| This is line with previous dividend. |  ABT first paid dividend 43 years ago but dividends are growing only for 12 years. Dividend Growth Rate for last 5 years is 10.38% 
LIN| Linde plc |6.0|464.73|459.11|1.31|40.82|EQUITY|1.5|2025-03-13| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-13|2025-03-26|2025-04-30|2025-03-27|2025-03-12| This is line with previous dividend. |  LIN first paid dividend 34 years ago but dividends are growing only for 32 years. Dividend Growth Rate for last 5 years is 9.27% 
SHEL| Shell PLC |2.86|73.29|72.73|3.94|54.39|EQUITY|0.716|2025-02-14| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-14|2025-03-23|2025-05-02|2025-03-24|2025-02-13| This is line with previous dividend. |  SHEL first paid dividend 41 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 17.48% 
NVS| Novartis AG |3.87|111.4|112.57|3.44|63.71|EQUITY|3.777|2024-03-07| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-12|2024-04-18|2025-04-29|2024-04-19|2025-03-11| This is line with previous dividend. | NVS dividend growth is zero. 
PM| Philip Morris International Inc |5.4|155.01|155.16|3.48|88.2|EQUITY|1.35|2025-03-20| Payout Ratio falls within the  high risk  range (>75%). |2025-03-20|2025-04-09|2025-04-23|2025-04-10|2025-03-19| This is line with previous dividend. |  PM first paid dividend 18 years ago but dividends are growing only for 6 years. Dividend Growth Rate for last 5 years is 2.90% 
GE| GE Aerospace |1.44|205.88|199.88|0.72|18.39|EQUITY|0.36|2025-03-10| Payout Ratio falls within the  low risk  range (<35%). |2025-03-10|2025-04-24|2025-04-22|2025-04-25|2025-03-09| This is line with previous dividend. |  GE first paid dividend 64 years ago but dividends are growing only for 3 years. Dividend Growth Rate for last 3 years is 93.30% 
GS| Goldman Sachs Group  Inc. (The) |12.0|558.92|543.12|2.21|28.37|EQUITY|3.0|2025-02-28| Payout Ratio falls within the  low risk  range (<35%). |2025-02-28|2025-03-27|2025-04-14|2025-03-28|2025-02-27| This is line with previous dividend. |  GS first paid dividend 27 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 24.47% 
HSBC| HSBC Holdings  plc. |7.2|58.34|57.77|12.46|49.11|EQUITY|1.8|2025-03-07| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-07|2025-04-24|2025-04-28|2025-04-25|2025-03-06| This is line with previous dividend. |  HSBC first paid dividend 27 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 16.13% 
INTU| Intuit Inc. |4.16|615.3|598.92|0.69|36.3|EQUITY|1.04|2025-01-10| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-04-10|2025-04-17|2025-05-21|2025-04-18|2025-04-09| This is line with previous dividend. |  INTU first paid dividend 15 years ago but dividends are growing only for 13 years. Dividend Growth Rate for last 5 years is 14.43% 
CAT| Caterpillar  Inc. |5.64|339.3|329.69|1.71|24.58|EQUITY|1.41|2025-01-21| Payout Ratio falls within the  low risk  range (<35%). |2025-01-21|2025-02-19|2025-04-23|2025-02-20|2025-01-20| This is line with previous dividend. |  CAT first paid dividend 52 years ago but dividends are growing only for 15 years. Dividend Growth Rate for last 5 years is 6.48% 
QCOM| QUALCOMM Incorporated |3.4|157.97|152.72|2.23|36.14|EQUITY|0.85|2025-03-06| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-06|2025-03-26|2025-04-30|2025-03-27|2025-03-05| This is line with previous dividend. |  QCOM first paid dividend 24 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 5.51% 
TXN| Texas Instruments Incorporated |5.44|180.76|176.33|3.09|101.15|EQUITY|1.36|2025-01-31| Payout Ratio falls within the  high risk  range (>75%). |2025-01-31|2025-02-10|2025-04-21|2025-02-11|2025-01-30| This is line with previous dividend. |  TXN first paid dividend 54 years ago but dividends are growing only for 21 years. Dividend Growth Rate for last 5 years is 8.61% 
VZ| Verizon Communications Inc. |2.71|44.96|44.93|6.03|64.86|EQUITY|0.678|2025-01-10| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-04-10|2025-04-30|2025-04-22|2025-05-01|2025-04-09| This is line with previous dividend. |  VZ first paid dividend 42 years ago but dividends are growing only for 19 years. Dividend Growth Rate for last 5 years is 1.97% 
RY| Royal Bank Of Canada |4.13|114.71|112.14|3.68|46.38|EQUITY|1.026|2024-10-24| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-04-24|2025-05-22|2025-05-28|2025-05-23|2025-04-23| This is line with previous dividend. | RY dividend growth is zero. 
DHR| Danaher Corporation |1.28|209.79|205.85|0.62|20.42|EQUITY|0.32|2025-03-28| Payout Ratio falls within the  low risk  range (<35%). |2025-03-28|2025-04-24|2025-04-22|2025-04-25|2025-03-27| This is line with previous dividend. |  DHR first paid dividend 33 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 15.62% 
T| AT&T Inc. |1.11|28.2|28.18|3.94|74.5|EQUITY|0.278|2025-01-10| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-01-10|2025-04-30|2025-04-23|2025-05-01|2025-01-09| This is line with previous dividend. | T dividend growth is zero. 
BKNG| Booking Holdings Inc. Common St |38.4|4752.8|4634.24|0.83|20.27|EQUITY|9.6|2025-03-07| Payout Ratio falls within the  low risk  range (<35%). |2025-03-07|2025-03-30|2025-04-30|2025-03-31|2025-03-06| This is line with previous dividend. |  BKNG first paid dividend 2 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 9.71% 
BLK| BlackRock  Inc. |20.84|967.94|946.7|2.2|48.56|EQUITY|5.21|2025-03-07| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-07|2025-03-23|2025-04-11|2025-03-24|2025-03-06| This is line with previous dividend. |  BLK first paid dividend 23 years ago but dividends are growing only for 16 years. Dividend Growth Rate for last 5 years is 7.49% 
SPGI| S&P Global Inc. |3.84|508.64|502.51|0.76|29.47|EQUITY|0.96|2025-02-26| Payout Ratio falls within the  low risk  range (<35%). |2025-02-26|2025-03-11|2025-04-23|2025-03-12|2025-02-25| This is line with previous dividend. |  SPGI first paid dividend 41 years ago but dividends are growing only for 3 years. Dividend Growth Rate for last 3 years is 4.14% 
RTX| RTX Corporation |2.52|133.43|131.72|1.91|69.86|EQUITY|0.63|2025-02-21| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-21|2025-03-19|2025-04-21|2025-03-20|2025-02-20| This is line with previous dividend. |  RTX first paid dividend 64 years ago but dividends are growing only for 14 years. Dividend Growth Rate for last 5 years is 5.81% 
PFE| Pfizer  Inc. |1.72|25.01|25.21|6.82|119.15|EQUITY|0.43|2025-01-24| Payout Ratio falls within the  high risk  range (>75%). |2025-01-24|2025-03-06|2025-04-29|2025-03-07|2025-01-23| This is line with previous dividend. |  PFE first paid dividend 54 years ago but dividends are growing only for 16 years. Dividend Growth Rate for last 5 years is 3.59% 
NEE| NextEra Energy  Inc. |2.27|70.03|70.45|3.22|61.13|EQUITY|0.567|2025-02-28| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-28|2025-03-16|2025-04-21|2025-03-17|2025-02-27| This is line with previous dividend. |  NEE first paid dividend 44 years ago but dividends are growing only for 31 years. Dividend Growth Rate for last 5 years is 10.13% 
FMX| Fomento Economico Mexicano S.A. |3.97|99.2|100.13|3.96|51.06|EQUITY|0.961|2024-10-16| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-01-17|2025-01-27|2025-04-24|2025-01-28|2025-01-16| This is line with previous dividend. | FMX dividend growth is zero. 
HON| Honeywell International Inc. |4.52|214.17|210.34|2.15|50.17|EQUITY|1.13|2025-02-28| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-28|2025-03-13|2025-04-23|2025-03-14|2025-02-27| This is line with previous dividend. |  HON first paid dividend 64 years ago but dividends are growing only for 15 years. Dividend Growth Rate for last 5 years is 4.66% 
CMCSA| Comcast Corporation |1.32|37.37|36.62|3.6|22.46|EQUITY|0.31|2025-01-08| Payout Ratio falls within the  low risk  range (<35%). |2025-04-02|2025-04-22|2025-04-24|2025-04-23|2025-04-01| This is line with previous dividend. |  CMCSA first paid dividend 31 years ago but dividends are growing only for 14 years. Dividend Growth Rate for last 5 years is 6.15% 
PGR| Progressive Corporation (The) |4.9|274.67|278.86|1.76|2.08|EQUITY|4.6|2025-01-10| Payout Ratio falls within the  low risk  range (<35%). |2025-04-03|2025-04-10|2025-05-05|2025-04-11|2025-04-02| This is line with previous dividend. |  PGR first paid dividend 38 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 4500.00% 
UNP| Union Pacific Corporation |5.36|235.97|232.15|2.31|47.61|EQUITY|1.34|2025-02-28| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-28|2025-03-30|2025-04-24|2025-03-31|2025-02-27| This is line with previous dividend. |  UNP first paid dividend 46 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 5.79% 
AMGN| Amgen Inc. |9.52|305.77|306.95|3.1|119.05|EQUITY|2.38|2025-02-14| Payout Ratio falls within the  high risk  range (>75%). |2025-05-16|2025-06-05|2025-04-30|2025-06-06|2025-05-15| This is line with previous dividend. |  AMGN first paid dividend 15 years ago but dividends are growing only for 14 years. Dividend Growth Rate for last 5 years is 8.27% 
KKR| KKR & Co. Inc. |0.7|117.54|114.86|0.61|21.04|EQUITY|0.175|2025-02-14| Payout Ratio falls within the  low risk  range (<35%). |2025-02-14|2025-02-27|2025-04-29|2025-02-28|2025-02-13| This is line with previous dividend. |  KKR first paid dividend 16 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 5.33% 
LOW| Lowe's Companies  Inc. |4.6|232.17|228.42|2.01|37.2|EQUITY|1.15|2025-01-22| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-04-23|2025-05-06|2025-05-21|2025-05-07|2025-04-22| This is line with previous dividend. |  LOW first paid dividend 41 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 15.90% 
AMAT| Applied Materials  Inc. |1.84|147.68|145.06|1.27|19.87|EQUITY|0.4|2025-02-20| Payout Ratio falls within the  low risk  range (<35%). |2025-05-22|2025-06-11|2025-05-14|2025-06-12|2025-05-21| This is line with previous dividend. |  AMAT first paid dividend 21 years ago but dividends are growing only for 15 years. Dividend Growth Rate for last 5 years is 12.70% 
SYK| Stryker Corporation |3.36|367.54|364.5|0.92|41.75|EQUITY|0.84|2024-12-31| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-31|2025-04-29|2025-04-28|2025-04-30|2025-03-30| This is line with previous dividend. | SYK dividend growth is zero. 
TJX| TJX Companies  Inc. (The) |1.5|120.57|118.21|1.27|34.21|EQUITY|0.375|2025-02-13| Payout Ratio falls within the  low risk  range (<35%). |2025-02-13|2025-03-05|2025-05-21|2025-03-06|2025-02-12| This is line with previous dividend. |  TJX first paid dividend 39 years ago but dividends are growing only for 3 years. Dividend Growth Rate for last 3 years is 8.33% 
SCHW| Charles Schwab Corporation (The |1.08|79.6|77.81|1.39|33.44|EQUITY|0.27|2025-02-14| Payout Ratio falls within the  low risk  range (<35%). |2025-02-14|2025-02-27|2025-04-17|2025-02-28|2025-02-13| This is line with previous dividend. |  SCHW first paid dividend 37 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 8.00% 
ETN| Eaton Corporation  PLC |4.16|280.91|274.17|1.52|39.58|EQUITY|0.94|2024-11-04| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-10|2025-03-27|2025-04-28|2025-03-28|2025-03-09| This is line with previous dividend. | ETN dividend growth is zero. 
C| Citigroup  Inc. |2.24|71.85|70.33|3.18|36.64|EQUITY|0.56|2025-02-03| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-03|2025-02-27|2025-04-15|2025-02-28|2025-02-02| This is line with previous dividend. |  C first paid dividend 38 years ago but dividends are growing only for 9 years. Dividend Growth Rate for last 5 years is 1.89% 
COP| ConocoPhillips |3.12|102.82|102.37|3.05|39.95|EQUITY|0.78|2025-02-14| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-14|2025-03-02|2025-05-08|2025-03-03|2025-02-13| This is line with previous dividend. | COP dividend growth is zero. 
SONY| Sony Group Corporation |0.12|25.64|25.09|0.49|9.76|EQUITY|0.0574|2024-03-27| Payout Ratio falls within the  low risk  range (<35%). |2024-09-30|2024-12-11|2025-05-12|2024-12-12|2024-09-29| This is line with previous dividend. | SONY dividend growth is zero. 
EADSY| Airbus SE |0.54|44.84|44.82|1.2|33.38|EQUITY|0.756|2024-04-16| Payout Ratio falls within the  low risk  range (<35%). |2025-04-23|2024-05-02|2025-04-29|2024-05-03|2025-04-22| This is line with previous dividend. | EADSY dividend growth is zero. 
TTFNF| TotalEnergies SE |3.65|0.0|64.31|5.67|50.08|EQUITY|0.883|2024-09-25| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-06-20|2020-07-15|2025-04-30|2020-07-16|2025-06-19| This is line with previous dividend. | TTFNF dividend growth is zero. 
BHP| BHP Group Limited |2.48|49.63|48.92|5.07|65.15|EQUITY|1.48|2024-09-13| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-07|2025-03-26|2025-02-17|2025-03-27|2025-03-06| This is line with previous dividend. | BHP dividend growth is zero. 
