symbol,shortName,dividendRate,lastDividendValue,previousClose,currentPrice,dividendYield,payoutRatio,quoteType,message,DividendDate,DividendDate.1,ExDividendDate,ExDividendDate.1,EarningsDate,payoutdate,buy_date,hist,insight
BIPJ,Brookfield Infrastructure Corpo,0.453,0.453,24.18,,,0.0,EQUITY,"BIPJ does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,BIPJ has just started to pay dividends.
SAY,Saratoga Investment Corp 8.125%,0.508,0.508,25.4,,,0.0,EQUITY,"SAY does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"SAY started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
SAT,Saratoga Investment Corp 6.00% ,0.375,0.375,24.4,,,0.0,EQUITY,"SAT does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"SAT started paying dividends 3 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is -3.35%."
GFSAY,,0.007369,0.007369,0.0,,,0.0,EQUITY,"GFSAY does not have available dividend date information.
",,,,,,,,Reflecting a -89.89% cut.,GFSAY has just started to pay dividends.
ARR-PC,"ARMOUR Residential REIT, Inc. 7",0.14583,0.14583,21.31,21.3399,8.2,0.0,EQUITY,,2025-03-26,2025-03-26,2025-03-14,2025-03-14,2025-04-23,2025-03-27,2025-03-13,This is in line with the previous dividend.,"ARR-PC started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
PRS,"Prudential Financial, Inc. 5.62",0.352,0.352,23.2,,,0.0,EQUITY,"PRS does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"PRS started paying dividends 8 years ago, but there is no recorded dividend growth in the last 5 years."
PRH,"Prudential Financial, Inc. 5.95",0.372,0.372,24.72,,,0.0,EQUITY,"PRH does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"PRH started paying dividends 4 years ago, but there is no recorded dividend growth in the last 2 years."
PFH,"Prudential Financial, Inc. 4.12",0.258,0.258,17.49,,,0.0,EQUITY,"PFH does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"PFH started paying dividends 6 years ago, but there is no recorded dividend growth in the last 3 years."
GDV-PK,The Gabelli Dividend & Income T,0.2656,0.2656,18.55,18.58,5.72,0.0,EQUITY,,,,,,,,,Reflecting a -0.01% cut.,GDV-PK has just started to pay dividends.
GLP-PB,Global Partners LP 9.50% Series,0.59375,0.59375,26.2331,26.225,9.06,0.0,EQUITY,,2025-02-17,2025-02-17,2025-02-03,2025-02-03,2025-05-06,2025-02-18,2025-02-02,This is in line with the previous dividend.,"GLP-PB started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 15.25%."
HPE-PC,Hewlett Packard Enterprise Comp,0.953125,0.953125,47.74,,,0.0,EQUITY,"HPE-PC does not have available dividend date information.
",,,,,,,,Reflecting a 13.33% increase.,HPE-PC has just started to pay dividends.
ECCW,Eagle Point Credit Company Inc.,0.422,0.422,23.84,,,0.0,EQUITY,"ECCW does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"ECCW started paying dividends 5 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is 0.40%."
ECCF,Eagle Point Credit Company Inc.,0.167,0.167,24.92,24.915,8.03,0.0,EQUITY,,2025-06-29,2025-06-29,2025-04-10,2025-04-10,2025-05-19,2025-06-30,2025-04-09,This is in line with the previous dividend.,ECCF has just started to pay dividends.
ECCV,Eagle Point Credit Company Inc.,0.336,0.336,23.0,,,0.0,EQUITY,"ECCV does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"ECCV started paying dividends 4 years ago, but there is no recorded dividend growth in the last 2 years."
ECC-PD,Eagle Point Credit Company Inc.,0.140625,0.140625,19.96,19.87,8.49,0.0,EQUITY,,2025-06-29,2025-06-29,2025-04-10,2025-04-10,2025-05-19,2025-06-30,2025-04-09,This is in line with the previous dividend.,"ECC-PD started paying dividends 4 years ago, but there is no recorded dividend growth in the last 2 years."
ECCC,Eagle Point Credit Company Inc.,0.135,0.135,23.34,23.36,6.96,0.0,EQUITY,,2025-06-29,2025-06-29,2025-04-10,2025-04-10,2025-05-19,2025-06-30,2025-04-09,This is in line with the previous dividend.,"ECCC started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
OZKAP,Bank OZK - 4.625% Series A Non-,0.289,0.289,16.28,16.38,7.06,0.0,EQUITY,,2025-02-17,2025-02-17,2025-02-03,2025-02-03,2025-04-16,2025-02-18,2025-02-02,This is in line with the previous dividend.,"OZKAP started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
INBKZ,First Internet Bancorp - Fixed-,0.544,0.544,24.89,,,0.0,EQUITY,"INBKZ does not have available dividend date information.
",,,,,,,,Reflecting a -4.41% cut.,INBKZ has just started to pay dividends.
RCIAX,Resource Credit Income Fund Cla,0.175,0.175,,,,0.0,MUTUALFUND,"RCIAX does not have available dividend date information.
",,,,,,,,Reflecting a 12.00% increase.,"RCIAX started paying dividends 10 years ago, but there is no recorded dividend growth in the last 1 years."
DHCNI,Diversified Healthcare Trust  -,0.352,0.352,13.3,,,0.0,EQUITY,"DHCNI does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"DHCNI started paying dividends 14 years ago, but there is no recorded dividend growth in the last 5 years."
PSOIX,Palmer Square Opportunistic Inc,0.363,0.363,,,,0.0,MUTUALFUND,"PSOIX does not have available dividend date information.
",,,,,,,,Reflecting a -1.93% cut.,PSOIX has just started to pay dividends.
CCLDP,"CareCloud, Inc. - 8.75% Series ",0.22917,0.22917,19.8,19.43,18.33,0.0,EQUITY,,2025-03-16,2025-03-16,2025-04-30,2025-04-30,2025-05-12,2025-03-17,2025-04-29,This is in line with the previous dividend.,CCLDP has just started to pay dividends.
CCLDO,"CareCloud, Inc. - 8.75% Series ",0.182,0.182,18.92,19.0,11.51,0.0,EQUITY,,2025-05-14,2025-05-14,2025-04-30,2025-04-30,2025-05-12,2025-05-15,2025-04-29,This is in line with the previous dividend.,CCLDO has just started to pay dividends.
ATH-PE,Athene Holding Ltd. Depositary ,0.484375,0.484375,26.15,25.95,7.47,0.0,EQUITY,,,,,,,,,This is in line with the previous dividend.,"ATH-PE started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
ATH-PD,Athene Holding Ltd. Depositary ,0.304688,0.304688,17.1,17.1,7.13,0.0,EQUITY,,,,,,,,,This is in line with the previous dividend.,"ATH-PD started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
ATH-PC,Athene Holding Ltd. Depositary ,0.398438,0.398438,24.94,24.9599,6.39,0.0,EQUITY,,,,,,,,,This is in line with the previous dividend.,"ATH-PC started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 2.53%."
ATH-PB,Athene Holding Ltd. Depositary ,0.351563,0.351563,19.67,19.7,7.14,0.0,EQUITY,,,,,,,,,This is in line with the previous dividend.,"ATH-PB started paying dividends 7 years ago, but there is no recorded dividend growth in the last 5 years."
ATHS,Athene Holding Ltd. 7.250% Fixe,0.453,0.453,25.21,,,0.0,EQUITY,"ATHS does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,ATHS has just started to pay dividends.
BPYPO,Brookfield Property Partners L.,0.398,0.398,13.82,14.2,11.22,0.0,EQUITY,,,,,,,,,This is in line with the previous dividend.,BPYPO has just started to pay dividends.
BPYPN,Brookfield Property Partners L.,0.359,0.359,12.41,12.56,11.45,0.0,EQUITY,,,,,,,,,This is in line with the previous dividend.,BPYPN has just started to pay dividends.
BPYPM,Brookfield Property Partners L.,0.391,0.391,14.25,,,0.0,EQUITY,"BPYPM does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,BPYPM has just started to pay dividends.
FUPPF,FUCHS SE NON VTG PRF NPV,1.1987041,1.1987041,0.0,42.99,2.81,48.47,EQUITY,,2014-05-07,2014-05-07,2025-05-08,2025-05-08,2025-04-30,2014-05-08,2025-05-07,This is in line with the previous dividend.,FUPPF has just started to pay dividends.
FBRT-PE,"Franklin BSP Realty Trust, Inc.",0.46875,0.46875,20.29,20.45,9.17,0.0,EQUITY,,2025-04-14,2025-04-14,2025-03-31,2025-03-31,2025-04-28,2025-04-15,2025-03-30,This is in line with the previous dividend.,"FBRT-PE started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
CCIA,Carlyle Credit Income Fund 8.75,0.182,0.182,25.76,,,0.0,EQUITY,"CCIA does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"CCIA started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
MBINM,Merchants Bancorp - Depositary ,0.516,0.516,25.59,25.65,8.04,0.0,EQUITY,,2025-03-31,2025-03-31,2025-03-14,2025-03-14,2025-04-28,2025-04-01,2025-03-13,This is in line with the previous dividend.,"MBINM started paying dividends 4 years ago, but there is no recorded dividend growth in the last 2 years."
MBINN,Merchants Bancorp - Depositary ,0.375,0.375,20.24,20.4499,7.33,0.0,EQUITY,,2025-03-31,2025-03-31,2025-03-14,2025-03-14,2025-04-28,2025-04-01,2025-03-13,This is in line with the previous dividend.,"MBINN started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -2.09%."
NSA-PB,National Storage Affiliates Tru,0.375,0.375,21.56,21.56,6.96,0.0,EQUITY,,2025-03-30,2025-03-30,2025-03-14,2025-03-14,2025-04-29,2025-03-31,2025-03-13,This is in line with the previous dividend.,NSA-PB has just started to pay dividends.
XILSX,Pioneer ILS Interval Fund,1.166,1.166,,,,0.0,MUTUALFUND,"XILSX does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,XILSX has just started to pay dividends.
RILYZ,"B. Riley Financial, Inc. - 5.25",0.328,0.328,8.6,,,0.0,EQUITY,"RILYZ does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"RILYZ started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 1.75%."
RILYT,"B. Riley Financial, Inc. - 6.00",0.375,0.375,8.57,,,0.0,EQUITY,"RILYT does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"RILYT started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -1.48%."
RILYP,"B. Riley Financial, Inc. - Depo",0.43,0.43,3.62,3.6,21.62,0.0,EQUITY,,2024-10-30,2024-10-30,2024-10-28,2024-10-28,2025-04-22,2024-10-31,2024-10-27,This is in line with the previous dividend.,RILYP has just started to pay dividends.
ATLCZ,Atlanticus Holdings Corporation,0.578,0.578,24.6819,,,0.0,EQUITY,"ATLCZ does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,ATLCZ has just started to pay dividends.
ATLCP,Atlanticus Holdings Corporation,0.477,0.477,23.28,23.25,8.2,0.0,EQUITY,,2025-03-16,2025-03-16,2025-02-28,2025-02-28,2025-05-08,2025-03-17,2025-02-27,This is in line with the previous dividend.,"ATLCP started paying dividends 5 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is -0.42%."
ATLCL,Atlanticus Holdings Corporation,0.383,0.383,24.22,,,0.0,EQUITY,"ATLCL does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"ATLCL started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
RILYN,"B. Riley Financial, Inc. - 6.50",0.406,0.406,12.84,,,0.0,EQUITY,"RILYN does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"RILYN started paying dividends 7 years ago, but there is no recorded dividend growth in the last 5 years."
RILYM,"B. Riley Financial, Inc. - 6.37",0.398,0.398,25.11,,,0.0,EQUITY,"RILYM does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"RILYM started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 2.90%."
RILYL,"B. Riley Financial, Inc. - Depo",0.461,0.461,3.83,3.5,20.22,0.0,EQUITY,,2024-10-30,2024-10-30,2024-10-28,2024-10-28,2025-04-22,2024-10-31,2024-10-27,This is in line with the previous dividend.,RILYL has just started to pay dividends.
RILYK,"B. Riley Financial, Inc. - 5.50",0.344,0.344,21.64,,,0.0,EQUITY,"RILYK does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"RILYK started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 30.67%."
RILYG,"B. Riley Financial, Inc. - 5.00",0.313,0.313,10.25,,,0.0,EQUITY,"RILYG does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"RILYG started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
VODAF,VODACOM GROUP LIMITED,0.158,0.158,0.0,5.75,5.47,78.56,EQUITY,,2013-06-30,2013-06-30,2024-11-27,2024-11-27,2025-05-19,2013-07-01,2024-11-26,This is in line with the previous dividend.,VODAF has just started to pay dividends.
UUGWF,UNITED UTILITIES GROUP PLC,0.422,0.422,0.0,13.454,4.74,299.88,EQUITY,,2013-08-01,2013-08-01,2024-11-29,2024-11-29,2025-05-15,2013-08-02,2024-11-28,This is in line with the previous dividend.,UUGWF has just started to pay dividends.
FATBP,FAT Brands Inc. - 8.25% Series ,0.172,0.172,8.02,8.03,25.68,0.0,EQUITY,,2025-04-20,2025-04-20,2025-04-10,2025-04-10,2025-04-29,2025-04-21,2025-04-09,This is in line with the previous dividend.,"FATBP started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 13.33%."
LANDO,Gladstone Land Corporation - 6.,0.125,0.125,19.88,20.08,7.47,0.0,EQUITY,,2025-03-30,2025-03-30,2025-03-19,2025-03-19,2025-05-05,2025-03-31,2025-03-18,This is in line with the previous dividend.,"LANDO started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
FSEN,,0.0068,0.0068,0.0,2.52,11.55,160.62,EQUITY,"FSEN does not have available dividend date information.
",,,,,,,,Reflecting a -1007.35% cut.,FSEN has just started to pay dividends.
NREF-PA,"NexPoint Real Estate Finance, I",0.53125,0.53125,24.05,23.91,8.84,0.0,EQUITY,,2025-04-24,2025-04-24,2025-04-15,2025-04-15,2025-04-30,2025-04-25,2025-04-14,This is in line with the previous dividend.,"NREF-PA started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
SACC,Sachem Capital Corp. 6.875% Not,0.434,0.434,24.98,,,0.0,ETF,"SACC does not have available dividend date information.
",,,,,,,,Reflecting a 0.92% increase.,SACC has just started to pay dividends.
SCCG,Sachem Capital Corp. 8.00% Note,0.5,0.5,20.5067,,,0.0,EQUITY,"SCCG does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"SCCG started paying dividends 4 years ago, but there is no recorded dividend growth in the last 2 years."
SCCF,Sachem Capital Corp. 7.125% Not,0.445,0.445,19.34,,,0.0,EQUITY,"SCCF does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,SCCF has just started to pay dividends.
SCCE,Sachem Capital Corp. 6.00% Note,0.375,0.375,19.359,,,0.0,ETF,"SCCE does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,SCCE has just started to pay dividends.
SCCD,Sachem Capital Corp. 6.00% Note,0.375,0.375,20.43,,,0.0,ETF,"SCCD does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,SCCD has just started to pay dividends.
SCCC,Sachem Capital Corp. 7.75% Note,0.484,0.484,24.75,,,0.0,ETF,"SCCC does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"SCCC started paying dividends 6 years ago, but there is no recorded dividend growth in the last 4 years."
SACH-PA,Sachem Capital Corp. 7.75% Seri,0.484375,0.484375,15.55,16.0,,0.0,EQUITY,"SACH-PA does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"SACH-PA started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -0.28%."
FROPX,Flat Rock Opportunity Fund,0.22,0.22,,,,0.0,MUTUALFUND,"FROPX does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,FROPX has just started to pay dividends.
PMFAX,PIMCO Flexible Municipal Income,0.028,0.028,,,,0.0,MUTUALFUND,"PMFAX does not have available dividend date information.
",,,,,,,,Reflecting a -10.71% cut.,PMFAX has just started to pay dividends.
OCCIO,"OFS Credit Company, Inc. - 6.12",0.128,0.128,24.83,24.8258,6.17,0.0,EQUITY,,2025-07-30,2025-07-30,2025-04-17,2025-04-17,2025-06-09,2025-07-31,2025-04-16,This is in line with the previous dividend.,"OCCIO started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 77.14%."
OCCIN,"OFS Credit Company, Inc. - 5.25",0.109,0.109,23.78,23.8001,5.51,0.0,EQUITY,,2025-07-30,2025-07-30,2025-04-17,2025-04-17,2025-06-09,2025-07-31,2025-04-16,This is in line with the previous dividend.,"OCCIN started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 6.73%."
OCCIM,"OFS Credit Company, Inc. - 7.87",0.164,0.164,24.84,24.75,7.95,0.0,EQUITY,,2025-07-30,2025-07-30,2025-04-17,2025-04-17,2025-06-09,2025-07-31,2025-04-16,This is in line with the previous dividend.,OCCIM has just started to pay dividends.
MNSBP,"MainStreet Bancshares, Inc. - D",0.469,0.469,24.85,24.6592,7.6,0.0,EQUITY,,2025-03-29,2025-03-29,2025-03-14,2025-03-14,2025-04-21,2025-03-30,2025-03-13,This is in line with the previous dividend.,"MNSBP started paying dividends 6 years ago, but there is no recorded dividend growth in the last 4 years."
XFLT-PA,XAI Octagon Floating Rate & Alt,0.40625,0.40625,25.25,25.265,6.63,0.0,EQUITY,,,,,,,,,This is in line with the previous dividend.,"XFLT-PA started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -7.70%."
ALTG-PA,Alta Equipment Group Inc. Depos,0.625,0.625,25.68,25.6873,9.78,0.0,EQUITY,,2025-01-30,2025-01-30,2025-01-15,2025-01-15,2025-05-06,2025-01-31,2025-01-14,This is in line with the previous dividend.,"ALTG-PA started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -8.43%."
HROWM,"Harrow, Inc. - 11.875% Senior N",0.742,0.742,26.75,,,0.0,EQUITY,"HROWM does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"HROWM started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
HROWL,"Harrow, Inc. - 8.625% senior no",0.539,0.539,25.4,,,0.0,EQUITY,"HROWL does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"HROWL started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
NXDT-PA,NexPoint Diversified Real Estat,0.34375,0.34375,15.4,15.1,9.32,0.0,EQUITY,,2025-03-30,2025-03-30,2025-03-24,2025-03-24,2025-05-08,2025-03-31,2025-03-23,This is in line with the previous dividend.,"NXDT-PA started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
